"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmE.idq_sr[1]","loadInertiaM.phi","loadInertiaE.phi","loadInertiaM.w","smpmE.is[2]","vfController.x","smpmE.idq_sr[2]","smpmM.is[2]","smpmE.is[1]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[1]","smpmE.idq_dr[1]","smpmE.idq_rr[2]","loadInertiaE.w"
1.2104,0.050432898,-0.46401322,-0.44597876,-46.694664,110.78622,110.78622,153.88731,-33.135857,223.17874,22.002262,-33.137051,-17.70859,-7.3379095e-05,-17.715818,2.7610557,-18.793461,153.8873
1.2105,0.064381875,-0.46400201,-0.44413251,-46.789001,110.80161,110.80161,153.86145,-34.258259,223.21016,22.427279,-34.25964,-16.618818,-0.00014917117,-16.626034,2.8318782,-19.089752,153.86142
1.2106,0.078264654,-0.46399051,-0.44184944,-46.884747,110.81699,110.81699,153.83568,-35.374615,223.24158,22.855194,-35.376186,-15.507302,-0.00022615166,-15.514499,2.9036484,-19.387465,153.83566
1.2107,0.092067555,-0.46397874,-0.43913192,-46.981884,110.83237,110.83237,153.81001,-36.484303,223.27299,23.286001,-36.486034,-14.374151,-0.00030432618,-14.38132,2.9763548,-19.686583,153.81
1.2108001,0.10577697,-0.46396667,-0.43598273,-47.08041,110.84776,110.84776,153.78447,-37.586693,223.30441,23.719687,-37.58847,-13.219493,-0.00038370033,-13.226624,3.0499859,-19.987091,153.78444
1.2108999,0.11937939,-0.46395433,-0.43240505,-47.180309,110.86314,110.86314,153.75902,-38.681118,223.33582,24.156239,-38.682957,-12.043473,-0.00046427961,-12.05056,3.1245294,-20.288975,153.75899
1.211,0.13286142,-0.46394166,-0.42840242,-47.28157,110.87851,110.87851,153.73367,-39.766899,223.36723,24.595646,-39.768944,-10.846259,-0.00054606947,-10.853294,3.1999729,-20.59222,153.73364
1.2111,0.14620979,-0.4639287,-0.42397892,-47.384186,110.89388,110.89388,153.70845,-40.84333,223.39865,25.037895,-40.84557,-9.6280384,-0.00062907534,-9.6350183,3.2763035,-20.896811,153.70842
1.2112,0.15941137,-0.46391544,-0.41913906,-47.488144,110.90925,110.90925,153.68333,-41.909695,223.43007,25.482975,-41.91206,-8.3890209,-0.00071330246,-8.3959475,3.3535082,-21.202732,153.68329
1.2113,0.17245315,-0.46390185,-0.41388774,-47.59343,110.92461,110.92461,153.65833,-42.965237,223.46149,25.930872,-42.967575,-7.1294413,-0.0007987562,-7.1363287,3.4315734,-21.509966,153.65828
1.2114,0.18532228,-0.46388796,-0.40823001,-47.700035,110.93998,110.93998,153.63342,-44.00919,223.4929,26.381573,-44.011711,-5.8495569,-0.00088544172,-5.8563676,3.5104856,-21.818499,153.63338
