"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
85,293604.34,293604.94,293603.28,293602.59,293603.28,293603.06,293604.34,293604.34
85.099998,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.199997,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.300003,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.400002,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.5,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.599998,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.699997,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.800003,293604.34,293604.94,293603.28,293602.59,293603.28,293603.09,293604.34,293604.34
85.900002,293604.34,293604.94,293603.28,293602.59,293603.28,293603.12,293604.34,293604.34
86,293604.34,293604.94,293603.28,293602.62,293603.28,293603.12,293604.34,293604.34
86.099998,293604.34,293604.94,293603.28,293602.62,293603.28,293603.12,293604.34,293604.34
86.199997,293604.34,293604.97,293603.28,293602.62,293603.28,293603.12,293604.34,293604.34
86.300003,293604.34,293604.97,293603.28,293602.62,293603.28,293603.12,293604.34,293604.34
86.400002,293604.34,293604.97,293603.28,293602.62,293603.28,293603.12,293604.34,293604.34
86.5,293604.34,293604.97,293603.28,293602.62,293603.28,293603.12,293604.34,293604.34
86.599998,293604.34,293604.97,293603.28,293602.62,293603.28,293603.12,293604.34,293604.38
86.699997,293604.34,293604.97,293603.28,293602.62,293603.28,293603.12,293604.34,293604.38
86.800003,293604.34,293604.97,293603.28,293602.62,293603.28,293603.16,293604.34,293604.38
86.900002,293604.34,293604.97,293603.28,293602.62,293603.28,293603.16,293604.34,293604.38
87,293604.34,293604.97,293603.28,293602.62,293603.28,293603.16,293604.34,293604.38
87.099998,293604.34,293604.97,293603.28,293602.62,293603.28,293603.16,293604.34,293604.38
87.199997,293604.34,293604.97,293603.28,293602.62,293603.28,293603.16,293604.34,293604.38
87.300003,293604.34,293604.97,293603.28,293602.62,293603.28,293603.16,293604.34,293604.38
87.400002,293604.34,293604.97,293603.28,293602.66,293603.28,293603.16,293604.34,293604.38
87.5,293604.34,293604.97,293603.28,293602.66,293603.28,293603.16,293604.34,293604.38
87.599998,293604.34,293604.97,293603.28,293602.66,293603.28,293603.16,293604.34,293604.38
87.699997,293604.34,293604.97,293603.28,293602.66,293603.28,293603.16,293604.34,293604.38
87.800003,293604.34,293604.97,293603.28,293602.66,293603.28,293603.16,293604.34,293604.38
87.900002,293604.34,293604.97,293603.28,293602.66,293603.28,293603.16,293604.34,293604.38
88,293604.34,293604.97,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.099998,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.199997,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.300003,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.400002,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.5,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.599998,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.699997,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.800003,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
88.900002,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
89,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
89.099998,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
89.199997,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
89.300003,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
89.400002,293604.34,293605,293603.28,293602.66,293603.28,293603.19,293604.34,293604.38
89.5,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
89.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
89.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
89.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
89.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.5,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.19,293604.34,293604.38
90.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
90.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
90.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
91.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
92.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
93.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
94,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
94.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
94.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
94.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
94.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.38
94.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
94.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
94.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
94.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
94.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
95.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
96.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
97.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.800003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
98.900002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.099998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.199997,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.300003,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.400002,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.5,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.599998,293604.34,293605,293603.28,293602.69,293603.28,293603.22,293604.34,293604.41
99.699997,293604.34,293605,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
99.800003,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
99.900002,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.1,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.2,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.3,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.4,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.5,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.6,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.7,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.8,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
100.9,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.1,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.2,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.3,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.4,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.5,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.6,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.7,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.8,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
101.9,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
102,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
102.1,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
102.2,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
102.3,293604.34,293605.03,293603.28,293602.69,293603.28,293603.25,293604.34,293604.41
102.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
102.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
102.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
102.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
102.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
102.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
103.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
104.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
105.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
106.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
107.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
108.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
109.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
110.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
111.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
112.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
113.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
114.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
115.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.1,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.2,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.3,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.4,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.5,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.6,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.7,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.8,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
116.9,293604.34,293605.03,293603.28,293602.72,293603.28,293603.25,293604.34,293604.41
