"Time","eddyCurrentForce.lossPower","mass.s","heatCapacitor.T"
0.25850001,1083.1232,4.7608986,428.97522
0.259,1076.7703,4.766551,429.5152
0.2595,1070.4121,4.7721796,430.05197
0.25999999,1064.0494,4.7777848,430.5856
0.26050001,1057.6829,4.7833657,431.11603
0.26100001,1051.3131,4.7889233,431.64328
0.2615,1044.9409,4.794457,432.16733
0.26199999,1038.5668,4.7999673,432.6882
0.26249999,1032.1914,4.8054538,433.2059
0.26300001,1025.8156,4.8109164,433.7204
0.26350001,1019.4398,4.8163557,434.23172
0.264,1013.0647,4.8217716,434.73984
0.26449999,1006.6911,4.8271642,435.24475
0.26499999,1000.3195,4.8325334,435.74652
0.26550001,993.9505,4.8378787,436.24506
0.266,987.58484,4.8432012,436.74045
0.2665,981.22302,4.8485007,437.23264
0.26699999,974.86572,4.8537765,437.72165
0.26750001,968.51355,4.8590293,438.20749
0.26800001,962.16705,4.8642592,438.69016
0.2685,955.82684,4.8694658,439.16962
0.26899999,949.49353,4.8746495,439.64594
0.26949999,943.16766,4.8798103,440.11911
0.27000001,936.84985,4.8849483,440.58908
0.2705,930.54059,4.8900633,441.05594
0.271,924.24048,4.8951554,441.51959
0.27149999,917.95007,4.9002247,441.98013
0.27200001,911.66992,4.9052715,442.43753
0.27250001,905.40057,4.9102955,442.89178
0.273,899.14252,4.9152975,443.34293
0.2735,892.8963,4.9202762,443.79092
0.27399999,886.66241,4.9252329,444.23581
0.27450001,880.44135,4.9301672,444.67755
0.27500001,874.2337,4.9350791,445.11621
0.2755,868.03992,4.9399686,445.55179
0.27599999,861.86047,4.9448357,445.98425
0.27649999,855.69586,4.9496808,446.4136
0.27700001,849.54657,4.954504,446.8399
0.2775,843.41296,4.9593048,447.26315
0.278,837.29565,4.9640837,447.68332
0.27849999,831.19489,4.9688406,448.1004
0.27900001,825.11127,4.9735756,448.5145
0.27950001,819.04517,4.9782891,448.92551
0.28,812.99707,4.9829803,449.3335
0.28049999,806.96722,4.9876504,449.73849
0.28099999,800.95624,4.9922981,450.14047
0.28150001,794.96436,4.9969249,450.53943
0.28200001,788.992,5.0015297,450.93542
0.2825,783.03967,5.0061135,451.32843
0.28299999,777.10767,5.0106754,451.71844
0.28349999,771.19635,5.0152164,452.10553
0.28400001,765.30609,5.0197358,452.48965
0.2845,759.43726,5.0242338,452.87082
0.285,753.59015,5.0287113,453.24908
0.28549999,747.76514,5.0331669,453.62442
0.28600001,741.96259,5.0376019,453.99683
0.28650001,736.18268,5.042016,454.36636
0.287,730.4259,5.0464091,454.73303
0.28749999,724.69244,5.0507817,455.0968
0.28799999,718.9826,5.0551333,455.4577
0.28850001,713.29669,5.059464,455.8158
0.289,707.63501,5.0637741,456.17102
0.2895,701.99792,5.0680637,456.52344
0.28999999,696.38556,5.0723329,456.87302
0.29049999,690.79822,5.076582,457.21982
0.29100001,685.23621,5.0808101,457.56381
0.2915,679.69971,5.0850182,457.90506
0.292,674.18896,5.0892057,458.24353
0.29249999,668.70422,5.0933738,458.57925
0.29300001,663.24567,5.0975208,458.91223
0.29350001,657.8136,5.1016483,459.24252
0.294,652.40814,5.1057558,459.57007
0.29449999,647.02948,5.1098437,459.89493
0.29499999,641.67786,5.1139112,460.2171
0.29550001,636.35352,5.1179595,460.53662
0.296,631.05652,5.1219878,460.85345
0.2965,625.78711,5.1259961,461.16766
0.29699999,620.54547,5.1299853,461.47925
0.29750001,615.33173,5.133955,461.78824
0.29800001,610.14606,5.1379051,462.0946
0.2985,604.98853,5.1418362,462.39838
0.29899999,599.85938,5.1457477,462.69962
0.29949999,594.75867,5.1496401,462.99826
0.30000001,589.68658,5.153513,463.29437
0.30050001,584.64319,5.1573672,463.58795
0.301,579.62866,5.1612024,463.87903
0.30149999,574.64301,5.1650186,464.1676
0.30199999,569.68646,5.1688156,464.45367
0.30250001,564.75897,5.1725941,464.73727
0.303,559.86072,5.1763539,465.01843
0.3035,554.99182,5.1800952,465.29715
0.30399999,550.15222,5.1838179,465.57343
0.30450001,545.34216,5.1875215,465.84732
0.30500001,540.56158,5.1912074,466.11877
0.3055,535.81055,5.1948743,466.38788
0.30599999,531.08917,5.198523,466.6546
0.30649999,526.39752,5.2021537,466.91898
0.30700001,521.73553,5.2057662,467.181
0.3075,517.10333,5.2093606,467.4407
0.308,512.50092,5.2129369,467.69812
0.30849999,507.92831,5.2164955,467.95322
0.30899999,503.38556,5.2200356,468.20605
0.30950001,498.87268,5.2235584,468.4566
0.31,494.38968,5.2270632,468.70493
0.3105,489.93658,5.2305508,468.95102
0.31099999,485.51337,5.2340202,469.19489
0.31150001,481.12003,5.2374721,469.43652
0.31200001,476.75659,5.2409067,469.67599
0.3125,472.42303,5.2443242,469.9133
0.31299999,468.11932,5.2477241,470.14844
0.31349999,463.84546,5.2511067,470.38141
0.31400001,459.60141,5.2544723,470.61227
0.3145,455.38715,5.2578206,470.84103
0.315,451.20264,5.2611518,471.06769
0.31549999,447.04785,5.2644663,471.29224
0.31600001,442.92279,5.2677636,471.51474
0.31650001,438.82733,5.2710443,471.73517
0.317,434.76151,5.2743077,471.95358
0.3175,430.72522,5.277555,472.16995
0.31799999,426.71841,5.2807856,472.38431
0.31850001,422.74109,5.2839994,472.59668
0.31900001,418.79309,5.2871971,472.80707
0.3195,414.87445,5.2903781,473.01547
0.31999999,410.98505,5.2935429,473.22195
0.32049999,407.12482,5.2966914,473.42648
0.32100001,403.29367,5.2998238,473.62909
0.3215,399.49158,5.3029394,473.82977
0.322,395.71844,5.3060398,474.02859
0.32249999,391.97415,5.3091235,474.22549
0.32300001,388.25867,5.312192,474.42056
0.32350001,384.57187,5.3152442,474.61377
0.324,380.91367,5.3182807,474.80515
0.32449999,377.284,5.3213015,474.99469
0.32499999,373.68271,5.3243065,475.18243
0.32550001,370.10977,5.3272958,475.36838
0.32600001,366.56503,5.3302698,475.55255
0.3265,363.04843,5.3332286,475.73495
0.32699999,359.55984,5.3361716,475.91562
0.32749999,356.09912,5.3390994,476.09454
0.32800001,352.66623,5.3420119,476.27173
0.3285,349.26102,5.3449092,476.4472
0.329,345.88336,5.3477917,476.621
0.32949999,342.53317,5.3506589,476.79312
0.33000001,339.21033,5.3535113,476.96353
0.33050001,335.9147,5.3563485,477.13232
0.331,332.64618,5.3591714,477.29947
0.33149999,329.4046,5.361979,477.465
0.33199999,326.18991,5.3647723,477.62888
0.33250001,323.00192,5.3675508,477.7912
0.333,319.84055,5.3703146,477.9519
0.3335,316.70563,5.373064,478.11102
0.33399999,313.59708,5.3757987,478.26862
0.33450001,310.51471,5.3785195,478.42465
0.33500001,307.45844,5.3812256,478.57913
0.3355,304.4281,5.3839178,478.73212
0.336,301.42358,5.3865957,478.88358
0.33649999,298.44473,5.3892593,479.03354
0.33700001,295.49142,5.3919091,479.18201
0.33750001,292.56351,5.3945451,479.32904
0.338,289.66086,5.3971667,479.47458
0.33849999,286.78329,5.3997746,479.61871
0.33899999,283.93073,5.402369,479.76138
0.33950001,281.103,5.4049492,479.90265
0.34,278.29996,5.407516,480.04251
0.3405,275.52145,5.4100695,480.18094
0.34099999,272.76736,5.4126091,480.31802
0.34150001,270.03754,5.4151354,480.45374
0.34200001,267.33182,5.4176483,480.58807
