"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulsem.twomPulse.timerNegative[1].entryTime","pulsem.twomPulse.timerNegative[2].entryTime","pulsem.twomPulse.timerNegative[3].entryTime","pulsem.twomPulse.timerPositive[1].entryTime","pulsem.twomPulse.timerPositive[2].entryTime","pulsem.twomPulse.timerPositive[3].entryTime","rectifier.thyristor.idealThyristor[1].off","rectifier.thyristor.idealThyristor[2].off","rectifier.thyristor.idealThyristor[3].off","rootMeanSquareVoltage.mean.y"
0.032600000000000004,3.7251408332455953,0.02035286463988626,0.63829472577986723,82.450368150968956,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.0327,3.7374974887885939,0.02072599800070268,0.65311404853919441,84.646510858421649,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032800000000000003,3.7496737409262142,0.021100358125162037,0.66777750316600171,86.796702986654907,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032899999999999999,3.7616554933501405,0.021475926267374393,0.68227061843417491,88.897233847350918,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.033000000000000002,3.7734288458836787,0.021852682282971325,0.69657909127965167,90.94458855164045,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.033100000000000004,3.784980107720179,0.022230604646348996,0.71068880038370552,92.935461591733215,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.0332,3.796295813000035,0.022609670467269902,0.72458582208198041,94.866772523360467,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.033300000000000003,3.8073627318448509,0.022989855523395039,0.73825644204929819,96.735675661627241,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.033333333333333333,3.8109941680113484,0.0231168282186268,0.74276066545376451,97.344318606228683,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.033333333333333333,3.8109941680113484,0,0,0,3.4675242327940201,111.41409981806467,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.647790934303
