"time","pump.medium.T","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","V1_Opening.y","V2_Opening.y"
2.3900000000000001,294.13372167315572,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87795.891480483624,-0.86059664871977548,100000,87795.891480483624,1,0,100000,87795.891480483624,0.001,1,0
2.3919999999999999,294.13679550219831,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87808.752381197832,-0.86059664871977548,100000,87808.752381197832,1,0,100000,87808.752381197832,0.001,1,0
2.3940000000000001,294.13986933124096,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87821.613281912272,-0.86059664871977548,100000,87821.613281912272,1,0,100000,87821.613281912272,0.001,1,0
2.3959999999999999,294.14294316028361,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87834.474182626713,-0.86059664871977548,100000,87834.474182626713,1,0,100000,87834.474182626713,0.001,1,0
2.3980000000000001,294.14601698932626,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87847.335083341153,-0.86059664871977548,100000,87847.335083341153,1,0,100000,87847.335083341153,0.001,1,0
2.3999999999999999,294.14909081836885,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87860.195984055346,-0.86059664871977548,100000,87860.195984055346,1,0,100000,87860.195984055346,0.001,1,0
2.4020000000000001,294.1521646474115,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87873.056884769787,-0.86059664871977548,100000,87873.056884769787,1,0,100000,87873.056884769787,0.001,1,0
2.4039999999999999,294.15523847645414,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87885.917785484242,-0.86059664871977548,100000,87885.917785484242,1,0,100000,87885.917785484242,0.001,1,0
2.4060000000000001,294.15831230549679,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87898.778686198682,-0.86059664871977548,100000,87898.778686198682,1,0,100000,87898.778686198682,0.001,1,0
2.4079999999999999,294.16138613453944,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87911.639586913123,-0.86059664871977548,100000,87911.639586913123,1,0,100000,87911.639586913123,0.001,1,0
2.4100000000000001,294.16445996358203,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87924.500487627316,-0.86059664871977548,100000,87924.500487627316,1,0,100000,87924.500487627316,0.001,1,0
2.4119999999999999,294.16753379262468,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87937.361388341757,-0.86059664871977548,100000,87937.361388341757,1,0,100000,87937.361388341757,0.001,1,0
2.4140000000000001,294.17060762166733,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87950.222289056197,-0.86059664871977548,100000,87950.222289056197,1,0,100000,87950.222289056197,0.001,1,0
