"Time","volume.medium.p","volume.medium.h"
0.13857201,1054161.9,84967.344
0.13877399,1054371.5,84967.555
0.13897599,1054580.2,84967.766
0.13917799,1054788,84967.977
0.13937999,1054994.8,84968.18
0.13958199,1055200.8,84968.383
0.13978399,1055405.8,84968.594
0.13998599,1055609.8,84968.797
0.14018799,1055813,84969
0.14038999,1056015.2,84969.203
0.14059199,1056216.6,84969.406
0.14079399,1056417.1,84969.602
0.14099599,1056616.8,84969.805
0.14119799,1056815.5,84970
0.14139999,1057013.2,84970.203
0.14160199,1057210.2,84970.398
0.14180399,1057406.2,84970.594
0.14200599,1057601.5,84970.789
0.142208,1057795.9,84970.984
0.14241,1057989.2,84971.18
0.142612,1058181.9,84971.367
0.142814,1058373.6,84971.562
0.143016,1058564.5,84971.75
0.143218,1058754.6,84971.945
0.14342,1058943.9,84972.133
0.143622,1059132.1,84972.32
0.143824,1059319.8,84972.508
0.144026,1059506.4,84972.695
0.144228,1059692.2,84972.883
0.14443,1059877.4,84973.07
0.144632,1060061.5,84973.25
0.144834,1060244.9,84973.438
0.145036,1060427.5,84973.617
0.145238,1060609.2,84973.797
0.14544,1060790.2,84973.977
0.145642,1060970.4,84974.164
0.145844,1061149.8,84974.344
0.146046,1061328.4,84974.516
0.146248,1061506.1,84974.695
0.14645,1061683.1,84974.875
0.146652,1061859.2,84975.047
0.146854,1062034.6,84975.227
0.147056,1062209.2,84975.398
0.147258,1062383.1,84975.578
0.14746,1062556.2,84975.75
0.147662,1062728.5,84975.922
0.147864,1062900.1,84976.094
0.148066,1063070.9,84976.266
0.148268,1063240.9,84976.43
0.14847,1063410.1,84976.602
0.148672,1063578.6,84976.773
0.148874,1063746.5,84976.938
0.149076,1063913.5,84977.109
0.149278,1064079.8,84977.273
0.14948,1064245.2,84977.438
0.149682,1064410.1,84977.602
0.149884,1064574.1,84977.766
0.150086,1064737.5,84977.93
0.150288,1064900.1,84978.094
0.15049,1065062,84978.258
0.150692,1065223.2,84978.414
0.150894,1065383.6,84978.578
0.151096,1065543.4,84978.734
0.151298,1065702.4,84978.898
0.1515,1065860.8,84979.055
0.151702,1066018.4,84979.211
0.151904,1066175.2,84979.367
0.152106,1066331.5,84979.523
0.152308,1066487,84979.68
0.15251,1066641.9,84979.836
0.152712,1066796,84979.992
0.152914,1066949.5,84980.141
0.153116,1067102.2,84980.297
0.153318,1067254.4,84980.445
0.15352,1067405.9,84980.602
0.153722,1067556.6,84980.75
0.153924,1067706.6,84980.898
0.154126,1067856.1,84981.047
0.154328,1068004.9,84981.203
0.15453,1068153,84981.352
0.154732,1068300.4,84981.492
0.154934,1068447.1,84981.641
0.155136,1068593.2,84981.789
0.155338,1068738.8,84981.938
0.15554,1068883.6,84982.078
0.155742,1069027.8,84982.227
0.155944,1069171.4,84982.367
0.156146,1069314.2,84982.508
0.156348,1069456.5,84982.648
0.15655001,1069598.1,84982.797
0.15675201,1069739.1,84982.938
0.15695401,1069879.6,84983.078
0.15715601,1070019.4,84983.219
0.15735801,1070158.5,84983.352
0.15756001,1070297,84983.492
0.15776201,1070434.9,84983.633
0.15796401,1070572.1,84983.766
0.15816601,1070708.9,84983.906
0.15836801,1070845,84984.039
0.15857001,1070980.4,84984.18
0.15877201,1071115.2,84984.312
0.15897401,1071249.5,84984.445
0.15917601,1071383.2,84984.578
0.15937801,1071516.2,84984.711
0.15958001,1071648.8,84984.844
0.15978201,1071780.6,84984.977
0.15998399,1071912,84985.109
0.16018599,1072042.8,84985.242
0.16038799,1072172.9,84985.367
0.16058999,1072302.5,84985.5
0.16079199,1072431.4,84985.625
0.16099399,1072559.9,84985.758
0.16119599,1072687.8,84985.883
0.16139799,1072815,84986.016
0.16159999,1072941.8,84986.141
0.16180199,1073067.9,84986.266
0.16200399,1073193.5,84986.391
0.16220599,1073318.5,84986.516
0.16240799,1073443,84986.641
0.16260999,1073566.9,84986.766
0.16281199,1073690.2,84986.891
0.16301399,1073813.1,84987.008
0.16321599,1073935.4,84987.133
0.16341799,1074057.1,84987.258
0.16362,1074178.2,84987.375
0.163822,1074298.9,84987.5
