"Time","meanCurrent.y","meanVoltage.y"
7.9183655,71.127533,98.218544
7.9183655,71.127533,98.218544
7.9183655,71.127533,98.218544
7.9183998,71.127533,98.218544
7.9186001,71.127533,98.218544
7.9187999,71.127533,98.218544
7.9190001,71.127533,98.218544
7.9191079,71.127533,98.218544
7.9191079,71.127533,98.218544
7.9191999,71.127533,98.218544
7.9194002,71.127533,98.218544
7.9196,71.127533,98.218544
7.9197998,71.127533,98.218544
7.9200001,71.127533,98.218544
7.9200001,71.094215,98.219353
7.9201999,71.094215,98.219353
7.9204001,71.094215,98.219353
7.9205999,71.094215,98.219353
7.9208002,71.094215,98.219353
7.921,71.094215,98.219353
7.9211998,71.094215,98.219353
7.9214001,71.094215,98.219353
7.9215999,71.094215,98.219353
7.9216647,71.094215,98.219353
7.921699,71.094215,98.219353
7.921699,71.094215,98.219353
7.921699,71.094215,98.219353
7.921699,71.094215,98.219353
7.9218001,71.094215,98.219353
7.9219999,71.094215,98.219353
7.9222002,71.094215,98.219353
7.9224,71.094215,98.219353
7.922441,71.094215,98.219353
7.922441,71.094215,98.219353
7.9225998,71.094215,98.219353
7.9228001,71.094215,98.219353
7.9229999,71.094215,98.219353
7.9232001,71.094215,98.219353
7.9233332,71.094215,98.219353
7.9233332,71.060852,98.220161
7.9233999,71.060852,98.220161
7.9236002,71.060852,98.220161
7.9238,71.060852,98.220161
7.9239998,71.060852,98.220161
7.9242001,71.060852,98.220161
7.9243999,71.060852,98.220161
7.9246001,71.060852,98.220161
7.9247999,71.060852,98.220161
7.9249978,71.060852,98.220161
7.9250002,71.060852,98.220161
7.9250321,71.060852,98.220161
7.9250321,71.060852,98.220161
7.9250321,71.060852,98.220161
7.9250321,71.060852,98.220161
7.9252,71.060852,98.220161
7.9253998,71.060852,98.220161
7.9256001,71.060852,98.220161
7.9257741,71.060852,98.220161
7.9257741,71.060852,98.220161
7.9257998,71.060852,98.220161
7.9260001,71.060852,98.220161
7.9261999,71.060852,98.220161
7.9264002,71.060852,98.220161
7.9266,71.060852,98.220161
7.9266667,71.060852,98.220161
7.9266667,71.027512,98.221031
7.9267998,71.027512,98.221031
7.927,71.027512,98.221031
7.9271998,71.027512,98.221031
7.9274001,71.027512,98.221031
7.9275999,71.027512,98.221031
7.9278002,71.027512,98.221031
7.928,71.027512,98.221031
7.9281998,71.027512,98.221031
7.9283314,71.027512,98.221031
7.9283657,71.027512,98.221031
7.9283657,71.027512,98.221031
7.9283657,71.027512,98.221031
7.9283657,71.027512,98.221031
7.9284,71.027512,98.221031
7.9285998,71.027512,98.221031
7.9288001,71.027512,98.221031
7.9289999,71.027512,98.221031
7.9291072,71.027512,98.221031
7.9291072,71.027512,98.221031
7.9292002,71.027512,98.221031
7.9294,71.027512,98.221031
7.9295998,71.027512,98.221031
7.9298,71.027512,98.221031
7.9299998,71.027512,98.221031
7.9299998,70.994194,98.221855
7.9302001,70.994194,98.221855
7.9303999,70.994194,98.221855
7.9306002,70.994194,98.221855
7.9308,70.994194,98.221855
7.9310002,70.994194,98.221855
7.9312,70.994194,98.221855
7.9313998,70.994194,98.221855
7.9316001,70.994194,98.221855
7.9316645,70.994194,98.221855
7.9316988,70.994194,98.221855
7.9316988,70.994194,98.221855
7.9316988,70.994194,98.221855
7.9316988,70.994194,98.221855
7.9317999,70.994194,98.221855
7.9320002,70.994194,98.221855
7.9322,70.994194,98.221855
7.9324002,70.994194,98.221855
7.9324403,70.994194,98.221855
7.9324403,70.994194,98.221855
7.9326,70.994194,98.221855
7.9327998,70.994194,98.221855
7.9330001,70.994194,98.221855
7.9331999,70.994194,98.221855
7.9333334,70.994194,98.221855
7.9333334,70.960838,98.222664
7.9334002,70.960838,98.222664
7.9335999,70.960838,98.222664
7.9338002,70.960838,98.222664
7.934,70.960838,98.222664
7.9341998,70.960838,98.222664
7.9344001,70.960838,98.222664
7.9345999,70.960838,98.222664
7.9348001,70.960838,98.222664
7.934998,70.960838,98.222664
7.9349999,70.960838,98.222664
7.9350324,70.960838,98.222664
7.9350324,70.960838,98.222664
7.9350324,70.960838,98.222664
7.9350324,70.960838,98.222664
7.9352002,70.960838,98.222664
7.9354,70.960838,98.222664
7.9355998,70.960838,98.222664
7.9357734,70.960838,98.222664
7.9357734,70.960838,98.222664
7.9358001,70.960838,98.222664
7.9359999,70.960838,98.222664
7.9362001,70.960838,98.222664
7.9363999,70.960838,98.222664
7.9366002,70.960838,98.222664
7.9366665,70.960838,98.222664
7.9366665,70.927498,98.223526
7.9368,70.927498,98.223526
7.9369998,70.927498,98.223526
7.9372001,70.927498,98.223526
7.9373999,70.927498,98.223526
7.9376001,70.927498,98.223526
7.9377999,70.927498,98.223526
7.9380002,70.927498,98.223526
7.9382,70.927498,98.223526
7.9383311,70.927498,98.223526
7.9383655,70.927498,98.223526
7.9383655,70.927498,98.223526
7.9383655,70.927498,98.223526
7.9383655,70.927498,98.223526
7.9383998,70.927498,98.223526
7.9386001,70.927498,98.223526
7.9387999,70.927498,98.223526
7.9390001,70.927498,98.223526
7.9391065,70.927498,98.223526
7.9391065,70.927498,98.223526
7.9391999,70.927498,98.223526
7.9394002,70.927498,98.223526
7.9396,70.927498,98.223526
7.9397998,70.927498,98.223526
7.9400001,70.927498,98.223526
7.9400001,70.894188,98.22435
7.9401999,70.894188,98.22435
7.9404001,70.894188,98.22435
7.9405999,70.894188,98.22435
7.9408002,70.894188,98.22435
7.941,70.894188,98.22435
7.9411998,70.894188,98.22435
7.9414001,70.894188,98.22435
7.9415998,70.894188,98.22435
7.9416647,70.894188,98.22435
7.941699,70.894188,98.22435
7.941699,70.894188,98.22435
7.941699,70.894188,98.22435
7.941699,70.894188,98.22435
7.9418001,70.894188,98.22435
7.9419999,70.894188,98.22435
7.9422002,70.894188,98.22435
7.9424,70.894188,98.22435
7.94244,70.894188,98.22435
7.94244,70.894188,98.22435
7.9425998,70.894188,98.22435
7.9428,70.894188,98.22435
7.9429998,70.894188,98.22435
7.9432001,70.894188,98.22435
7.9433331,70.894188,98.22435
7.9433331,70.860825,98.225159
7.9433999,70.860825,98.225159
7.9436002,70.860825,98.225159
7.9438,70.860825,98.225159
7.9439998,70.860825,98.225159
7.9442,70.860825,98.225159
7.9443998,70.860825,98.225159
7.9446001,70.860825,98.225159
7.9447999,70.860825,98.225159
7.9449978,70.860825,98.225159
7.9450002,70.860825,98.225159
7.9450321,70.860825,98.225159
7.9450321,70.860825,98.225159
7.9450321,70.860825,98.225159
7.9450321,70.860825,98.225159
7.9452,70.860825,98.225159
7.9454002,70.860825,98.225159
7.9456,70.860825,98.225159
7.9457731,70.860825,98.225159
7.9457731,70.860825,98.225159
7.9457998,70.860825,98.225159
7.9460001,70.860825,98.225159
7.9461999,70.860825,98.225159
7.9464002,70.860825,98.225159
7.9466,70.860825,98.225159
7.9466667,70.860825,98.225159
7.9466667,70.827484,98.226028
7.9468002,70.827484,98.226028
7.947,70.827484,98.226028
7.9471998,70.827484,98.226028
