"Time","aimc.idq_rr[2]","mass.s","aimc.idq_sr[1]","mass.v","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","vfController.x","aimc.idq_sr[2]"
0.101,26.768085,1.6286443e-05,191.50623,0.0010559133,191.53999,-165.20174,-140.60432,1.6023693,-51.894993
0.102,21.98534,1.7375494e-05,194.80304,0.0011223988,194.83569,-167.68945,-138.04713,1.6342565,-47.050056
0.103,17.023497,1.8533605e-05,197.97554,0.0011943236,198.00662,-170.04694,-135.24805,1.6664578,-41.998604
0.104,11.884529,1.9766976e-05,201.01286,0.0012726724,201.04185,-172.26424,-132.2027,1.6989733,-36.741909
0.105,6.5709052,2.1082438e-05,203.90395,0.0013585549,203.93025,-174.33127,-128.907,1.7318029,-31.281761
0.106,1.0856019,2.2487708e-05,206.63747,0.0014535666,206.66043,-176.23776,-125.35723,1.7649467,-25.620493
0.107,-4.5678191,2.3993389e-05,209.202,0.0015604417,209.22087,-177.97337,-121.55012,1.7984047,-19.761051
0.108,-10.385219,2.561273e-05,211.58598,0.0016809336,211.59991,-179.52766,-117.48283,1.8321768,-13.707004
0.109,-16.361858,2.7361351e-05,213.77766,0.0018195204,213.78571,-180.89006,-113.15298,1.8662632,-7.4625549
0.11,-22.49231,2.9260042e-05,215.76518,0.0019825175,215.76625,-182.04994,-108.55872,1.9006636,-1.0326422
0.111,-28.770384,3.1337499e-05,217.53658,0.0021789384,217.52942,-182.99661,-103.69875,1.9353782,5.5769806
0.112,-35.189022,3.3634253e-05,219.07977,0.0024240357,219.06294,-183.71933,-98.572472,1.9704069,12.359631
0.113,-41.740086,3.6210629e-05,220.38252,0.0027435082,220.35432,-184.20721,-93.17997,2.0057499,19.307482
0.114,-48.414028,3.9160674e-05,221.4324,0.0031803241,221.39076,-184.44928,-87.522255,2.0414069,26.411196
0.115,-55.199291,4.2635183e-05,222.21664,0.0038071512,222.15892,-184.43423,-81.601479,2.077378,33.659325
0.116,-62.081505,4.6874633e-05,222.72206,0.0047313655,222.64471,-184.15044,-75.421295,2.1136634,41.037445
0.117,-69.042908,5.2233208e-05,222.93503,0.0060640918,222.83316,-183.58591,-68.98719,2.1502631,48.527554
0.118,-76.062798,5.9162336e-05,222.84222,0.0078798216,222.70883,-182.72894,-62.306435,2.1871767,56.108528
0.119,-83.118904,6.8161433e-05,222.43135,0.010202537,222.2567,-181.56892,-55.38773,2.2244046,63.757511
0.12,-90.188469,7.9738536e-05,221.69171,0.013034565,221.46269,-180.09679,-48.240871,2.2619467,71.45105
0.121,-97.248528,9.4401599e-05,220.6143,0.016375829,220.3138,-178.30518,-40.876698,2.299803,79.165398
0.122,-104.27599,0.00011265907,219.19183,0.020223543,218.79811,-176.1884,-33.307098,2.3379734,86.876556
0.123,-111.24782,0.00013501514,217.41879,0.024571825,216.90495,-173.74251,-25.545012,2.3764577,94.560486
0.124,-118.14121,0.00016196695,215.29143,0.029413402,214.62483,-170.96524,-17.60437,2.4152565,102.19328
0.125,-124.93367,0.00019400346,212.80771,0.034739703,211.94963,-167.85603,-9.5001202,2.4543693,109.75128
0.126,-131.60315,0.00023160447,209.96735,0.04054058,208.87248,-164.41602,-1.2481961,2.4937963,117.21117
0.127,-138.12816,0.00027523868,206.7717,0.046804354,205.38795,-160.64786,7.1345124,2.5335374,124.55015
0.12800001,-144.4879,0.00032536275,203.22377,0.053517729,201.49199,-156.55582,15.630163,2.5735927,131.74599
0.12899999,-150.66238,0.00038241918,199.32808,0.060666092,197.18201,-152.14566,24.220026,2.6139622,138.77724
0.13,-156.63255,0.00044683492,195.09068,0.068233646,192.45688,-147.42448,32.884529,2.6546457,145.62332
0.131,-162.38029,0.00051902077,190.51897,0.076203324,187.31699,-142.40074,41.603275,2.6956437,152.2646
0.132,-167.88869,0.00059936981,185.62163,0.084556989,181.76427,-137.08411,50.355118,2.7369554,158.68253
0.133,-173.14191,0.00068825652,180.40858,0.093275465,175.80217,-131.48534,59.118206,2.7785816,164.85966
0.134,-178.12544,0.00078603573,174.89079,0.10233863,169.43568,-125.61617,67.870064,2.8205218,170.77983
0.13500001,-182.82605,0.00089304184,169.08018,0.11172554,162.67136,-119.48926,76.587624,2.8627763,176.42813
0.13600001,-187.23184,0.0010095877,162.98955,0.12141455,155.51729,-113.11798,85.247345,2.905345,181.79102
0.13699999,-191.33234,0.0011359644,156.63235,0.13138343,147.98312,-106.51639,93.825241,2.9482276,186.85631
0.138,-195.11841,0.0012724405,150.02272,0.14160946,140.07999,-99.69902,102.297,2.9914246,191.61325
0.139,-198.58235,0.0014192616,143.17522,0.15206954,131.82054,-92.68084,110.63802,3.0349355,196.05249
0.14,-201.71788,0.0015766501,136.10477,0.16274033,123.21889,-85.477066,118.82352,3.0787609,200.16608
0.141,-204.52005,0.0017448049,128.82655,0.17359833,114.29054,-78.103111,126.82861,3.1229002,203.94746
0.142,-206.98526,0.0019239015,121.35588,0.18461998,105.05242,-70.574432,134.6284,3.1673536,207.39149
0.14300001,-209.11124,0.0021140918,113.70806,0.19578177,95.522774,-62.906467,142.19804,3.2121215,210.49432
