"time","I.re","I.im"
0.82200000000000006,9.9998078037063221e-06,2.5533222368682169e-10
0.82220000000000004,9.9998078069014422e-06,2.553432858974609e-10
0.82240000000000002,9.9998078101393595e-06,2.5535450780633003e-10
0.8226,9.9998078131194958e-06,2.5536566840943556e-10
0.82280000000000009,9.9998078164874496e-06,2.5537710186096376e-10
0.82300000000000006,9.9998078193901909e-06,2.5538808310957635e-10
0.82320000000000004,9.9998078226508865e-06,2.5539914364804751e-10
0.82340000000000002,9.9998078260430417e-06,2.5541005731673415e-10
0.8236,9.9998078291394537e-06,2.5542123344793222e-10
0.82380000000000009,9.999807832411547e-06,2.5543244430629806e-10
0.82400000000000007,9.9998078355294635e-06,2.554434255475351e-10
0.82420000000000004,9.9998078387290491e-06,2.5545471224861075e-10
0.82440000000000002,9.9998078419199476e-06,2.5546574418382308e-10
0.8246,9.9998078448674562e-06,2.5547672959393563e-10
0.82480000000000009,9.9998078481334255e-06,2.5548794310349877e-10
0.82500000000000007,9.9998078517496226e-06,2.5549890041302892e-10
0.82520000000000004,9.9998078548017297e-06,2.555101976870158e-10
0.82540000000000002,9.9998078583562712e-06,2.5552139742459663e-10
0.8256,9.9998078610907054e-06,2.5553259542155412e-10
0.82580000000000009,9.99980786419161e-06,2.555435502161905e-10
0.82600000000000007,9.9998078673394182e-06,2.5555440606957906e-10
0.82620000000000005,9.9998078707567506e-06,2.555657727542072e-10
0.82640000000000002,9.9998078738327982e-06,2.5557653162873859e-10
0.8266,9.9998078772905747e-06,2.5558771963892917e-10
0.82680000000000009,9.9998078803597274e-06,2.5559888270455573e-10
0.82700000000000007,9.9998078836150512e-06,2.5561010773515279e-10
0.82720000000000005,9.9998078869419663e-06,2.5562116076883232e-10
0.82740000000000002,9.9998078901725482e-06,2.5563232666828019e-10
0.8276,9.9998078931157234e-06,2.5564340083240985e-10
0.82780000000000009,9.9998078967132435e-06,2.556542919252446e-10
0.82800000000000007,9.9998078997474239e-06,2.5566533343379142e-10
0.82820000000000005,9.999807902742485e-06,2.5567654124550713e-10
0.82840000000000003,9.9998079058845791e-06,2.556873597920195e-10
0.8286,9.9998079092347604e-06,2.556986028416779e-10
0.82880000000000009,9.9998079123879388e-06,2.5570980122496192e-10
0.82900000000000007,9.999807915702333e-06,2.557211484876121e-10
0.82920000000000005,9.9998079189864492e-06,2.5573185541481701e-10
0.82940000000000003,9.9998079218163591e-06,2.5574305872843911e-10
0.8296,9.9998079252728363e-06,2.5575403587130527e-10
0.82980000000000009,9.9998079287426526e-06,2.5576524121191444e-10
0.83000000000000007,9.9998079319280538e-06,2.5577611499686073e-10
0.83020000000000005,9.9998079351278004e-06,2.5578732011352667e-10
0.83040000000000003,9.9998079380562559e-06,2.5579828492302484e-10
0.8306,9.999807941657884e-06,2.5580957234037924e-10
0.83080000000000009,9.9998079448287857e-06,2.5582045199115824e-10
0.83100000000000007,9.999807948049188e-06,2.5583152639042258e-10
0.83120000000000005,9.9998079512071725e-06,2.5584259375289567e-10
0.83140000000000003,9.9998079541298004e-06,2.5585394271494271e-10
0.83160000000000001,9.9998079575449491e-06,2.5586460263558872e-10
0.83180000000000009,9.9998079607185461e-06,2.5587599635633197e-10
0.83200000000000007,9.9998079641636121e-06,2.5588701782455241e-10
0.83220000000000005,9.9998079672282501e-06,2.5589812195882244e-10
0.83240000000000003,9.9998079704600518e-06,2.5590886709997666e-10
0.83260000000000001,9.9998079738604334e-06,2.5592010545994347e-10
0.83279999999999998,9.9998079772678132e-06,2.5593105506451493e-10
0.83300000000000007,9.9998079801291819e-06,2.5594214719176329e-10
0.83320000000000005,9.9998079832382604e-06,2.5595328032713304e-10
0.83340000000000003,9.9998079866094583e-06,2.5596426579654855e-10
0.83360000000000001,9.9998079900428556e-06,2.5597546670284253e-10
0.83379999999999999,9.9998079931352373e-06,2.55986487469081e-10
0.83400000000000007,9.9998079963268321e-06,2.5599744637979396e-10
