"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]","bodyOfJoint.body.w_a[2]","joint.phi"
8.1259999999999994,3.8459253727671266e-16,-0.93552883478220461,4.5078259954292899e-16,-0.93552883478219973,-2.4348643056026513
8.1280000000000001,2.0275208187121557e-16,-0.92750205498424243,3.5837457164914997e-16,-0.92750205498423766,-2.4367273379561221
8.1300000000000008,3.2490409624246255e-16,-0.91946889067304238,5.1159997430621269e-16,-0.91946889067303772,-2.4385743103774664
8.1319999999999997,2.9270235076415341e-16,-0.91142942425728302,3.5775711641221361e-16,-0.91142942425727824,-2.4404052101731413
8.1340000000000003,3.3187373342339144e-16,-0.90338373746674372,5.0402342098241772e-16,-0.90338373746673883,-2.4422200248126242
8.136000000000001,2.6831712006534442e-16,-0.89533191135371082,4.2172616461061742e-16,-0.89533191135370593,-2.4440187419269632
8.1379999999999999,2.884444029575346e-16,-0.88727402629431817,2.60921431372832e-16,-0.88727402629431362,-2.4458013493073323
8.1400000000000006,3.1329103497834761e-16,-0.87921016198988766,4.141323734815388e-16,-0.879210161989883,-2.4475678349035994
8.1419999999999995,0,-0.87114039746834049,4.3056343957234298e-16,-0.87114039746833571,-2.4493181868228704
8.1440000000000001,2.7986852460826501e-16,-0.86306481108550237,4.3877760148866877e-16,-0.86306481108549771,-2.4510523933280575
8.1460000000000008,2.884444029575345e-16,-0.8549834805265164,4.254898688831552e-16,-0.85498348052651163,-2.4527704428364263
8.1479999999999997,2.884444029575346e-16,-0.84689648280718188,4.2295040205665127e-16,-0.84689648280717711,-2.4544723239181576
8.1500000000000004,2.1712227856052456e-16,-0.838803894275296,3.165952776806786e-16,-0.83880389427529123,-2.45615802529491
8.152000000000001,9.6148134319178203e-17,-0.83070579775829523,4.4382816151258023e-16,-0.83070579775829045,-2.4578275361914219
8.1539999999999999,2.7138794284744761e-16,-0.82260227688386034,3.4821617796234104e-16,-0.82260227688385557,-2.4594808460534199
8.1560000000000006,1.4073841903979299e-16,-0.81449339589849723,2.8489223972317433e-16,-0.81449339589849246,-2.4611179435490658
8.1579999999999995,1.9229626863835641e-16,-0.80637922919338345,3.4692273785774253e-16,-0.80637922919337857,-2.4627388180261365
8.1600000000000001,2.2139167711937082e-16,-0.79825985054528592,3.8426282304715036e-16,-0.79825985054528126,-2.4643434589789859
8.1620000000000008,-9.6148134319178215e-17,-0.79013533311932149,3.3292334689397722e-16,-0.79013533311931683,-2.4659318560471566
8.1639999999999997,1.9229626863835636e-16,-0.78200574947164292,2.8481657744565028e-16,-0.78200574947163815,-2.4675039990140069
8.1660000000000004,1.8770593142085654e-16,-0.77387117155212548,3.7851895090248727e-16,-0.7738711715521206,-2.469059877805341
8.168000000000001,2.5465770877016245e-16,-0.76573167070711867,2.8217623353158361e-16,-0.7657316707071139,-2.4705994824880229
