"Time","resistor_e.i[1]","resistor_e.i[2]","resistor_s.i[1]","resistor_s.i[2]","resistor_m.i[1]","resistor_m.i[2]"
1.1900001,20.735905,0.047741383,20.735905,0.047741383,20.735905,0.047741383
1.1950001,20.97541,0.49545601,20.97541,0.49545601,20.97541,0.49545601
1.2,21.193901,0.9599086,21.193901,0.9599086,21.193901,0.9599086
1.205,21.391163,1.440632,21.391163,1.440632,21.391163,1.440632
1.21,21.567001,1.9371432,21.567001,1.9371432,21.567001,1.9371432
1.215,21.721243,2.4489436,21.721243,2.4489436,21.721243,2.4489436
1.22,21.853733,2.9755197,21.853733,2.9755197,21.853733,2.9755197
1.225,21.964346,3.5163429,21.964346,3.5163429,21.964346,3.5163429
1.23,22.052967,4.0708714,22.052967,4.0708714,22.052967,4.0708714
1.235,22.119514,4.6385484,22.119514,4.6385484,22.119514,4.6385484
1.24,22.163919,5.2188063,22.163919,5.2188063,22.163919,5.2188063
1.245,22.186138,5.8110628,22.186138,5.8110628,22.186138,5.8110628
1.25,22.18615,6.4147258,22.18615,6.4147258,22.18615,6.4147258
1.255,22.163954,7.0291905,22.163954,7.0291905,22.163954,7.0291905
1.26,22.119574,7.6538415,22.119574,7.6538415,22.119574,7.6538415
1.265,22.053053,8.2880545,22.053053,8.2880545,22.053053,8.2880545
1.27,21.964457,8.9311953,21.964457,8.9311953,21.964457,8.9311953
1.275,21.853872,9.5826197,21.853872,9.5826197,21.853872,9.5826197
1.28,21.721411,10.241676,21.721411,10.241676,21.721411,10.241676
1.285,21.567202,10.907707,21.567202,10.907707,21.567202,10.907707
1.29,21.391396,11.580046,21.391396,11.580046,21.391396,11.580046
1.295,21.19417,12.25802,21.19417,12.25802,21.19417,12.25802
1.3,20.975716,12.940952,20.975716,12.940952,20.975716,12.940952
1.3049999,20.736252,13.62816,20.736252,13.62816,20.736252,13.62816
1.3099999,20.476013,14.318957,20.476013,14.318957,20.476013,14.318957
1.3150001,20.195257,15.012653,20.195257,15.012653,20.195257,15.012653
1.3200001,19.894262,15.708555,19.894262,15.708555,19.894262,15.708555
1.325,19.573322,16.405968,19.573322,16.405968,19.573322,16.405968
1.33,19.232758,17.104193,19.232758,17.104193,19.232758,17.104193
1.335,18.872902,17.802534,18.872902,17.802534,18.872902,17.802534
1.34,18.494112,18.500294,18.494112,18.500294,18.494112,18.500294
1.345,18.096762,19.196774,18.096762,19.196774,18.096762,19.196774
1.35,17.681242,19.891281,17.681242,19.891281,17.681242,19.891281
1.355,17.247965,20.583118,17.247965,20.583118,17.247965,20.583118
1.36,16.797358,21.271597,16.797358,21.271597,16.797358,21.271597
1.365,16.329865,21.956028,16.329865,21.956028,16.329865,21.956028
1.37,15.845947,22.635727,15.845947,22.635727,15.845947,22.635727
1.375,15.346084,23.310015,15.346084,23.310015,15.346084,23.310015
1.38,14.830768,23.978218,14.830768,23.978218,14.830768,23.978218
1.385,14.300508,24.639669,14.300508,24.639669,14.300508,24.639669
1.39,13.755826,25.293705,13.755826,25.293705,13.755826,25.293705
1.395,13.197262,25.939674,13.197262,25.939674,13.197262,25.939674
1.4,12.625366,26.576931,12.625366,26.576931,12.625366,26.576931
1.405,12.040704,27.204836,12.040704,27.204836,12.040704,27.204836
1.41,11.443851,27.822762,11.443851,27.822762,11.443851,27.822762
1.415,10.835398,28.43009,10.835398,28.43009,10.835398,28.43009
1.42,10.215944,29.026213,10.215944,29.026213,10.215944,29.026213
1.425,9.5861025,29.610533,9.5861025,29.610533,9.5861025,29.610533
1.4299999,8.9464931,30.182468,8.9464931,30.182468,8.9464931,30.182468
1.4349999,8.2977486,30.741442,8.2977486,30.741442,8.2977486,30.741442
1.4400001,7.6405091,31.286896,7.6405091,31.286896,7.6405091,31.286896
1.4450001,6.9754229,31.818285,6.9754229,31.818285,6.9754229,31.818285
1.45,6.3031468,32.335072,6.3031468,32.335072,6.3031468,32.335072
1.455,5.6243448,32.836742,5.6243448,32.836742,5.6243448,32.836742
1.46,4.9396863,33.322796,4.9396863,33.322796,4.9396863,33.322796
1.465,4.2498474,33.792736,4.2498474,33.792736,4.2498474,33.792736
1.47,3.5555091,34.246094,3.5555091,34.246094,3.5555091,34.246094
1.475,2.8573568,34.682415,2.8573568,34.682415,2.8573568,34.682415
1.48,2.1560795,35.101261,2.1560795,35.101261,2.1560795,35.101261
1.485,1.4523697,35.502209,1.4523697,35.502209,1.4523697,35.502209
1.49,0.74692166,35.884853,0.74692166,35.884853,0.74692166,35.884853
1.495,0.040431947,36.24881,0.040431947,36.24881,0.040431947,36.24881
1.5,-0.6664021,36.593712,-0.6664021,36.593712,-0.6664021,36.593712
1.505,-1.3728827,36.919209,-1.3728827,36.919209,-1.3728827,36.919209
1.51,-2.0783126,37.224976,-2.0783126,37.224976,-2.0783126,37.224976
1.515,-2.7819955,37.510693,-2.7819955,37.510693,-2.7819955,37.510693
1.52,-3.4832368,37.776077,-3.4832368,37.776077,-3.4832368,37.776077
1.525,-4.181344,38.020859,-4.181344,38.020859,-4.181344,38.020859
1.53,-4.8756285,38.244785,-4.8756285,38.244785,-4.8756285,38.244785
1.535,-5.5654049,38.447628,-5.5654049,38.447628,-5.5654049,38.447628
1.54,-6.2499919,38.629181,-6.2499919,38.629181,-6.2499919,38.629181
1.545,-6.9287138,38.789249,-6.9287138,38.789249,-6.9287138,38.789249
1.55,-7.6009011,38.927673,-7.6009011,38.927673,-7.6009011,38.927673
1.5549999,-8.2658901,39.044308,-8.2658901,39.044308,-8.2658901,39.044308
1.5599999,-8.9230232,39.139027,-8.9230232,39.139027,-8.9230232,39.139027
1.5650001,-9.5716543,39.211731,-9.5716543,39.211731,-9.5716543,39.211731
1.5700001,-10.211141,39.262337,-10.211141,39.262337,-10.211141,39.262337
1.575,-10.840853,39.290791,-10.840853,39.290791,-10.840853,39.290791
1.58,-11.460168,39.29705,-11.460168,39.29705,-11.460168,39.29705
1.585,-12.068475,39.281109,-12.068475,39.281109,-12.068475,39.281109
1.59,-12.665174,39.242966,-12.665174,39.242966,-12.665174,39.242966
1.595,-13.249675,39.182659,-13.249675,39.182659,-13.249675,39.182659
1.6,-13.821403,39.100231,-13.821403,39.100231,-13.821403,39.100231
1.605,-14.37979,38.995758,-14.37979,38.995758,-14.37979,38.995758
1.61,-14.924289,38.869339,-14.924289,38.869339,-14.924289,38.869339
1.615,-15.454359,38.721085,-15.454359,38.721085,-15.454359,38.721085
1.62,-15.969479,38.551136,-15.969479,38.551136,-15.969479,38.551136
1.625,-16.469139,38.359653,-16.469139,38.359653,-16.469139,38.359653
1.63,-16.952847,38.146812,-16.952847,38.146812,-16.952847,38.146812
1.635,-17.420126,37.912823,-17.420126,37.912823,-17.420126,37.912823
1.64,-17.870512,37.657902,-17.870512,37.657902,-17.870512,37.657902
1.645,-18.303562,37.382294,-18.303562,37.382294,-18.303562,37.382294
1.65,-18.718849,37.086262,-18.718849,37.086262,-18.718849,37.086262
1.655,-19.115963,36.770092,-19.115963,36.770092,-19.115963,36.770092
1.66,-19.494511,36.434086,-19.494511,36.434086,-19.494511,36.434086
1.665,-19.85412,36.078568,-19.85412,36.078568,-19.85412,36.078568
1.67,-20.194435,35.70388,-20.194435,35.70388,-20.194435,35.70388
1.675,-20.51512,35.310387,-20.51512,35.310387,-20.51512,35.310387
1.6799999,-20.815857,34.898464,-20.815857,34.898464,-20.815857,34.898464
1.6849999,-21.09635,34.468513,-21.09635,34.468513,-21.09635,34.468513
1.6900001,-21.356323,34.020947,-21.356323,34.020947,-21.356323,34.020947
1.6950001,-21.595518,33.556202,-21.595518,33.556202,-21.595518,33.556202
1.7,-21.813698,33.07473,-21.813698,33.07473,-21.813698,33.07473
1.705,-22.010651,32.576992,-22.010651,32.576992,-22.010651,32.576992
1.71,-22.186178,32.063477,-22.186178,32.063477,-22.186178,32.063477
1.715,-22.340111,31.534679,-22.340111,31.534679,-22.340111,31.534679
1.72,-22.472292,30.991116,-22.472292,30.991116,-22.472292,30.991116
1.725,-22.582594,30.433313,-22.582594,30.433313,-22.582594,30.433313
1.73,-22.670908,29.861814,-22.670908,29.861814,-22.670908,29.861814
1.735,-22.737144,29.277176,-22.737144,29.277176,-22.737144,29.277176
1.74,-22.78124,28.679964,-22.78124,28.679964,-22.78124,28.679964
1.745,-22.803152,28.070763,-22.803152,28.070763,-22.803152,28.070763
1.75,-22.802855,27.450163,-22.802855,27.450163,-22.802855,27.450163
1.755,-22.780352,26.818769,-22.780352,26.818769,-22.780352,26.818769
1.76,-22.735664,26.177198,-22.735664,26.177198,-22.735664,26.177198
1.765,-22.668835,25.526075,-22.668835,25.526075,-22.668835,25.526075
1.77,-22.579929,24.866032,-22.579929,24.866032,-22.579929,24.866032
