"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.0513,-0.026794853,-0.11823729
0.051399998,-0.026991284,-0.1186324
0.0515,-0.027188741,-0.11902783
0.051600002,-0.027387224,-0.11942357
0.0517,-0.02758674,-0.11981963
0.051800001,-0.027787289,-0.12021598
0.051899999,-0.027988875,-0.12061264
0.052000001,-0.028191501,-0.1210096
0.052099999,-0.02839517,-0.12140686
0.052200001,-0.028599884,-0.12180441
0.052299999,-0.028805647,-0.12220225
0.0524,-0.029012462,-0.12260037
0.052499998,-0.029220331,-0.12299878
0.0526,-0.029429259,-0.12339747
0.052700002,-0.029639244,-0.12379643
0.0528,-0.029850295,-0.12419567
0.052900001,-0.030062411,-0.12459517
0.052999999,-0.030275596,-0.12499494
0.053100001,-0.030489855,-0.12539497
0.053199999,-0.030705186,-0.12579526
0.053300001,-0.030921595,-0.1261958
0.053399999,-0.031139085,-0.1265966
0.0535,-0.031357657,-0.12699765
0.053599998,-0.031577319,-0.12739894
0.0537,-0.031798065,-0.12780046
0.053800002,-0.032019906,-0.12820223
0.0539,-0.032242842,-0.12860423
0.054000001,-0.032466874,-0.12900646
0.054099999,-0.032692008,-0.12940891
0.054200001,-0.032918245,-0.1298116
0.054299999,-0.033145588,-0.1302145
0.054400001,-0.033374038,-0.1306176
0.054499999,-0.033603605,-0.13102093
0.0546,-0.033834282,-0.13142446
0.054699998,-0.034066077,-0.13182819
0.0548,-0.034298997,-0.13223213
0.054900002,-0.034533039,-0.13263626
0.055,-0.034768205,-0.13304058
0.055100001,-0.0350045,-0.1334451
0.055199999,-0.035241928,-0.1338498
0.055300001,-0.035480488,-0.13425466
0.055399999,-0.035720188,-0.13465972
0.055500001,-0.035961028,-0.13506496
0.055599999,-0.036203012,-0.13547035
0.0557,-0.036446139,-0.13587591
0.055799998,-0.036690414,-0.13628164
0.0559,-0.036935844,-0.13668752
0.056000002,-0.037182424,-0.13709354
0.0561,-0.037430163,-0.13749973
0.056200001,-0.037679065,-0.13790606
0.056299999,-0.037929125,-0.13831253
0.056400001,-0.038180351,-0.13871914
0.056499999,-0.038432743,-0.13912588
0.056600001,-0.038686305,-0.13953274
0.056699999,-0.038941044,-0.13993974
0.0568,-0.039196957,-0.14034685
0.056899998,-0.039454047,-0.14075409
0.057,-0.039712321,-0.14116144
0.057100002,-0.039971776,-0.14156888
0.0572,-0.04023242,-0.14197645
0.057300001,-0.040494256,-0.14238411
0.057399999,-0.04075728,-0.14279185
0.057500001,-0.0410215,-0.1431997
0.057599999,-0.041286916,-0.14360763
0.057700001,-0.041553535,-0.14401565
0.057799999,-0.041821357,-0.14442374
0.0579,-0.042090382,-0.14483191
0.057999998,-0.042360615,-0.14524014
0.0581,-0.042632062,-0.14564845
