"Time","rectifier.thyristor_p.off","rectifier.thyristor_n.off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twoPulse.timerPositive[1].entryTime","pulse2.twoPulse.timerNegative[1].entryTime","inductor.i"
4.9784002,1,0,1.0896362,-0.053465031,12099.886,117.8998,6.1320801,0.051128943,4.96,4.9699998,6.2361231
4.9786,1,0,1.0896362,-0.039342504,12099.886,118.89826,6.1320801,0.052377515,4.96,4.9699998,6.2492743
4.9787998,1,0,1.0896362,-0.026988216,12099.886,119.66273,6.1320801,0.05362853,4.96,4.9699998,6.2606082
4.9790001,1,0,1.0896362,-0.016450923,12099.886,120.21928,6.1320801,0.054881632,4.96,4.9699998,6.2700834
4.9791999,1,0,1.0896362,-0.0077722087,12099.886,120.59734,6.1320801,0.05613644,4.96,4.9699998,6.2776661
4.9794002,1,0,1.0896362,-0.00098632346,12099.886,120.82907,6.1320801,0.057392571,4.96,4.9699998,6.283329
4.9796,1,0,1.0896362,0.0038799518,12099.886,120.94901,6.1320801,0.058649641,4.96,4.9699998,6.2870541
4.9798002,1,0,1.0896362,0.0068074111,12099.886,120.99343,6.1320801,0.059907261,4.96,4.9699998,6.2888293
4.98,1,0,1.0896362,0.0077845007,12099.886,120.99979,6.1320801,0.061165042,4.96,4.9699998,6.2886505
4.98,1,0,0.77845007,0,12099.979,0,6.1165042,0,4.98,4.9699998,6.2886505
4.9801998,1,0,0.77845007,-0.00097712374,12099.979,0.0063644033,6.1165042,0.0012575497,4.98,4.9699998,6.2865224
4.9804001,1,0,0.77845007,-0.0039046085,12099.979,0.050792452,6.1165042,0.0025144797,4.98,4.9699998,6.2824564
4.9805999,1,0,0.77845007,-0.0087709194,12099.979,0.17074931,6.1165042,0.0037704043,4.98,4.9699998,6.2764716
4.9808002,1,0,0.77845007,-0.01555684,12099.979,0.40250796,6.1165042,0.0050249421,4.98,4.9699998,6.2685947
4.9809999,1,0,0.77845007,-0.024235591,12099.979,0.78057903,6.1165042,0.0062777186,4.98,4.9699998,6.2588606
4.9812002,1,0,0.77845007,-0.034772921,12099.979,1.3371655,6.1165042,0.0075283656,4.98,4.9699998,6.2473102
4.9814,1,0,0.77845007,-0.047127243,12099.979,2.1016533,6.1165042,0.008776525,4.98,4.9699998,6.2339931
4.9815998,1,0,0.77845007,-0.061249804,12099.979,3.1001513,6.1165042,0.010021849,4.98,4.9699998,6.2189636
4.9818001,1,0,0.77845007,-0.077084862,12099.979,4.3550768,6.1165042,0.011264,4.98,4.9699998,6.2022858
4.9819999,1,0,0.77845007,-0.094569929,12099.979,5.8848042,6.1165042,0.012502657,4.98,4.9699998,6.1840277
4.9822001,1,0,0.77845007,-0.11363599,12099.979,7.7033734,6.1165042,0.013737511,4.98,4.9699998,6.1642642
4.9823999,1,0,0.77845007,-0.13420783,12099.979,9.8202696,6.1165042,0.014968269,4.98,4.9699998,6.1430774
4.9826002,1,0,0.77845007,-0.15620422,12099.979,12.240273,6.1165042,0.016194653,4.98,4.9699998,6.1205535
4.9828,1,0,0.77845007,-0.17953837,12099.979,14.963384,6.1165042,0.017416406,4.98,4.9699998,6.0967841
4.9829998,1,0,0.77845007,-0.20411819,12099.979,17.984821,6.1165042,0.018633289,4.98,4.9699998,6.0718665
4.9832001,1,0,0.77845007,-0.22984669,12099.979,21.295101,6.1165042,0.019845083,4.98,4.9699998,6.0459023
4.9833999,1,0,0.77845007,-0.25662228,12099.979,24.88018,6.1165042,0.021051588,4.98,4.9699998,6.0189967
4.9836001,1,0,0.77845007,-0.28433937,12099.979,28.721689,6.1165042,0.022252627,4.98,4.9699998,5.9912586
4.9837999,1,0,0.77845007,-0.3128885,12099.979,32.797207,6.1165042,0.023448043,4.98,4.9699998,5.962801
4.9840002,1,0,0.77845007,-0.34215704,12099.979,37.080627,6.1165042,0.024637707,4.98,4.9699998,5.9337392
4.9842,1,0,0.77845007,-0.37202945,12099.979,41.542561,6.1165042,0.025821507,4.98,4.9699998,5.904191
4.9843998,1,0,0.77845007,-0.40238789,12099.979,46.150806,6.1165042,0.026999358,4.98,4.9699998,5.8742757
4.9846001,1,0,0.77845007,-0.4331125,12099.979,50.870857,6.1165042,0.0281712,4.98,4.9699998,5.8441143
4.9847999,1,0,0.77845007,-0.46408203,12099.979,55.666447,6.1165042,0.029336996,4.98,4.9699998,5.8138285
4.9849849,1,0,0.77845007,-0.4928385,12099.979,60.136738,6.1165042,0.030409874,4.98,4.9699998,5.7858129
4.9849849,0,1,0.77845007,-0.4928385,12099.979,60.136738,6.1165042,0.030409874,4.98,4.9699998,5.7858129
4.9850001,0,1,0.77845007,-0.49050272,12099.979,60.500095,6.1165042,0.030496767,4.98,4.9699998,5.7882123
4.9851999,0,1,0.77845007,-0.4594107,12099.979,65.333672,6.1165042,0.031657599,4.98,4.9699998,5.8200879
4.9854002,0,1,0.77845007,-0.42844114,12099.979,70.129265,6.1165042,0.032824785,4.98,4.9699998,5.8517137
4.9856,0,1,0.77845007,-0.39771649,12099.979,74.84935,6.1165042,0.033998258,4.98,4.9699998,5.8829689
4.9857998,0,1,0.77845007,-0.36735803,12099.979,79.457649,6.1165042,0.035177939,4.98,4.9699998,5.913734
4.9860001,0,1,0.77845007,-0.33748558,12099.979,83.919647,6.1165042,0.03636371,4.98,4.9699998,5.9438906
4.9861999,0,1,0.77845007,-0.30821705,12099.979,88.203087,6.1165042,0.037555445,4.98,4.9699998,5.9733248
4.9864001,0,1,0.77845007,-0.27966791,12099.979,92.278618,6.1165042,0.038752984,4.98,4.9699998,6.0019231
4.9865999,0,1,0.77845007,-0.25195083,12099.979,96.120163,6.1165042,0.039956152,4.98,4.9699998,6.0295768
4.9868002,0,1,0.77845007,-0.22517517,12099.979,99.705284,6.1165042,0.041164745,4.98,4.9699998,6.0561805
4.987,0,1,0.77845007,-0.19944666,12099.979,103.01559,6.1165042,0.042378549,4.98,4.9699998,6.0816331
4.9871998,0,1,0.77845007,-0.17486683,12099.979,106.03705,6.1165042,0.043597315,4.98,4.9699998,6.1058373
4.9874001,0,1,0.77845007,-0.15153265,12099.979,108.76017,6.1165042,0.044820793,4.98,4.9699998,6.1287022
4.9875998,0,1,0.77845007,-0.12953627,12099.979,111.18017,6.1165042,0.046048701,4.98,4.9699998,6.1501403
4.9878001,0,1,0.77845007,-0.10896447,12099.979,113.29705,6.1165042,0.047280747,4.98,4.9699998,6.1700711
4.9879999,0,1,0.77845007,-0.089898437,12099.979,115.11561,6.1165042,0.048516624,4.98,4.9699998,6.1884198
4.9882002,0,1,0.77845007,-0.072413392,12099.979,116.64533,6.1165042,0.049756005,4.98,4.9699998,6.2051172
4.9884,0,1,0.77845007,-0.05657836,12099.979,117.90025,6.1165042,0.050998557,4.98,4.9699998,6.2201009
4.9885998,0,1,0.77845007,-0.042455826,12099.979,118.89874,6.1165042,0.052243929,4.98,4.9699998,6.2333159
4.9888,0,1,0.77845007,-0.030101534,12099.979,119.66322,6.1165042,0.053491764,4.98,4.9699998,6.2447138
4.9889998,0,1,0.77845007,-0.01956423,12099.979,120.21979,6.1165042,0.054741692,4.98,4.9699998,6.2542524
4.9892001,0,1,0.77845007,-0.010885506,12099.979,120.59785,6.1165042,0.055993337,4.98,4.9699998,6.2618985
4.9893999,0,1,0.77845007,-0.0040996126,12099.979,120.82961,6.1165042,0.057246324,4.98,4.9699998,6.2676244
4.9896002,0,1,0.77845007,0.00076667027,12099.979,120.94956,6.1165042,0.058500256,4.98,4.9699998,6.2714119
4.9898,0,1,0.77845007,0.0036941376,12099.979,120.99399,6.1165042,0.059754755,4.98,4.9699998,6.2732496
4.9899998,0,1,0.77845007,0.004671236,12099.979,121.00035,6.1165042,0.061009429,4.98,4.9699998,6.2731333
4.9899998,0,1,0.4671236,0,12100.035,0,6.1009426,0,4.98,4.9699998,6.2731333
4.9899998,0,1,0.4671236,-1.9454727e-14,12100.035,1.5171034e-16,6.1009426,1.5650188e-11,4.98,4.9699998,6.2731333
4.9899998,0,1,0.4671236,-1.9454727e-14,12100.035,1.5171034e-16,6.1009426,1.5650188e-11,4.98,4.9899998,6.2731333
4.9902,0,1,0.4671236,-0.00097712362,12100.035,0.0063644056,6.1009426,0.0012544525,4.98,4.9899998,6.2710671
4.9903998,0,1,0.4671236,-0.0039046083,12100.035,0.050792444,6.1009426,0.0025082976,4.98,4.9899998,6.2670627
4.9906001,0,1,0.4671236,-0.0087709194,12100.035,0.17074931,6.1009426,0.0037611497,4.98,4.9899998,6.2611394
