"Time","loadInertia.w","loadInertia.phi","armature.T","dcpm.la.i","core.T"
0.25299999,147.38252,37.239292,302.69131,144.10861,293.51022
0.25400001,147.37012,37.386669,302.72659,144.19101,293.51346
0.255,147.35789,37.534031,302.7619,144.27577,293.51669
0.25600001,147.34586,37.681385,302.79721,144.36273,293.51996
0.257,147.33398,37.828724,302.83258,144.45175,293.52322
0.25799999,147.32233,37.976051,302.86798,144.54271,293.52649
0.259,147.31085,38.123367,302.90338,144.63547,293.52979
0.25999999,147.29958,38.270672,302.93884,144.72989,293.53308
0.26100001,147.28851,38.417969,302.97433,144.82584,293.53638
0.26199999,147.27763,38.56525,303.00986,144.92319,293.5397
0.26300001,147.26698,38.712524,303.04541,145.0218,293.54303
0.264,147.25653,38.859783,303.08102,145.12158,293.54639
0.26499999,147.24629,39.007034,303.11664,145.2224,293.54971
0.266,147.23628,39.154278,303.15231,145.32411,293.55307
0.26699999,147.22647,39.30151,303.18805,145.42664,293.55646
0.26800001,147.21689,39.44873,303.22379,145.52983,293.55984
0.26899999,147.20752,39.595943,303.25958,145.63359,293.56323
0.27000001,147.19838,39.743145,303.29541,145.73781,293.56665
0.271,147.18945,39.890339,303.3313,145.84238,293.57004
0.27200001,147.18076,40.037525,303.36722,145.9472,293.57349
0.273,147.17227,40.1847,303.40317,146.05217,293.5769
0.27399999,147.16402,40.331867,303.43915,146.1572,293.58035
0.27500001,147.15598,40.479031,303.47519,146.26216,293.58383
0.27599999,147.14816,40.626183,303.51126,146.36699,293.58728
0.27700001,147.14058,40.773327,303.54739,146.47157,293.59076
0.278,147.13321,40.920464,303.58356,146.57585,293.59427
0.27900001,147.12607,41.067593,303.61975,146.67973,293.59775
0.28,147.11914,41.214714,303.65601,146.78311,293.60126
0.28099999,147.11244,41.361832,303.69229,146.88593,293.6048
0.28200001,147.10594,41.508938,303.72861,146.9881,293.60834
0.28299999,147.09967,41.65604,303.76495,147.08955,293.61188
0.28400001,147.09361,41.803139,303.80136,147.19022,293.61542
0.285,147.08777,41.95023,303.8378,147.29002,293.61899
0.28600001,147.08212,42.097313,303.87427,147.3889,293.62256
0.287,147.07671,42.244392,303.9108,147.4868,293.62616
0.28799999,147.07149,42.391468,303.94736,147.58363,293.62976
0.289,147.06647,42.538536,303.98395,147.67938,293.63336
0.28999999,147.06165,42.6856,304.02057,147.77396,293.63699
0.29100001,147.05704,42.832661,304.05722,147.86731,293.64062
0.292,147.05263,42.979713,304.0939,147.9594,293.64426
0.29300001,147.0484,43.126766,304.13065,148.05017,293.64792
0.294,147.04436,43.273811,304.16739,148.13959,293.65158
0.29499999,147.04051,43.420853,304.20419,148.2276,293.65524
0.296,147.03687,43.567894,304.241,148.31418,293.65894
0.29699999,147.03339,43.714928,304.27786,148.39926,293.66263
0.29800001,147.03009,43.861961,304.31476,148.48283,293.66635
0.29899999,147.02696,44.008987,304.35165,148.56487,293.67007
0.30000001,147.02402,44.156013,304.38858,148.64531,293.6738
0.301,147.02122,44.303036,304.42554,148.72415,293.67752
0.30199999,147.01862,44.450058,304.46255,148.80135,293.68127
0.303,147.01616,44.597073,304.49954,148.87689,293.68506
0.30399999,147.01387,44.744087,304.53659,148.95074,293.68881
0.30500001,147.01173,44.891102,304.57364,149.0229,293.6926
0.30599999,147.00974,45.038113,304.61072,149.09335,293.69641
0.30700001,147.0079,45.18512,304.64783,149.16205,293.7002
0.308,147.0062,45.332127,304.68494,149.22902,293.70401
0.30899999,147.00464,45.479134,304.72208,149.2942,293.70786
0.31,147.00322,45.626137,304.75925,149.35764,293.7117
0.31099999,147.00194,45.77314,304.79639,149.4193,293.71555
0.31200001,147.00078,45.920143,304.83359,149.47916,293.71939
0.31299999,146.99974,46.067142,304.87079,149.53725,293.72327
0.31400001,146.99884,46.214142,304.90799,149.59354,293.72714
0.315,146.99803,46.361137,304.94522,149.64804,293.73105
0.31600001,146.99736,46.508137,304.98245,149.70074,293.73495
0.317,146.99678,46.655132,305.01968,149.75166,293.73886
0.31799999,146.99632,46.802132,305.05695,149.80081,293.7428
0.31900001,146.99596,46.949127,305.09418,149.84818,293.74673
0.31999999,146.9957,47.096123,305.13144,149.89377,293.75067
0.32100001,146.99553,47.243118,305.16873,149.93759,293.75464
0.322,146.99545,47.390114,305.20599,149.97968,293.75861
0.32300001,146.99545,47.537109,305.24326,150.02,293.7626
0.324,146.99556,47.684105,305.28055,150.05861,293.76657
0.32499999,146.99573,47.8311,305.31781,150.0955,293.7706
0.32600001,146.99597,47.978096,305.35507,150.13069,293.7746
0.32699999,146.99631,48.125092,305.39236,150.1642,293.77863
0.32800001,146.99669,48.272087,305.42963,150.19603,293.78265
0.329,146.99715,48.419086,305.46689,150.22623,293.78671
0.33000001,146.99767,48.566082,305.50415,150.25478,293.79077
0.331,146.99825,48.713081,305.54141,150.28172,293.79483
0.33199999,146.99889,48.860081,305.57867,150.30708,293.79892
0.333,146.99957,49.00708,305.61591,150.33087,293.80301
0.33399999,147.00031,49.154079,305.65314,150.3531,293.8071
0.33500001,147.00108,49.301079,305.69037,150.37383,293.81122
0.336,147.00191,49.448082,305.72757,150.39305,293.81534
0.33700001,147.00278,49.595085,305.76477,150.4108,293.81946
0.338,147.00368,49.742088,305.80194,150.42711,293.82361
0.33899999,147.00461,49.889091,305.83911,150.44199,293.82776
0.34,147.00557,50.036095,305.87628,150.45547,293.83191
0.34099999,147.00655,50.183102,305.91342,150.46759,293.83609
0.34200001,147.00757,50.330109,305.95056,150.47836,293.84027
0.34299999,147.00859,50.477116,305.98767,150.48784,293.84448
0.34400001,147.00964,50.624126,306.02475,150.49602,293.84869
0.345,147.01071,50.771137,306.06183,150.50294,293.85291
0.34599999,147.0118,50.918148,306.09891,150.50865,293.85715
0.347,147.01289,51.065159,306.13593,150.51317,293.86136
0.34799999,147.01399,51.212173,306.17294,150.51651,293.86563
0.34900001,147.01509,51.359188,306.20993,150.51871,293.86987
0.34999999,147.0162,51.506203,306.24692,150.51981,293.87415
0.35100001,147.01732,51.653221,306.28387,150.51984,293.87845
0.352,147.01843,51.80024,306.3208,150.51881,293.88272
0.35299999,147.01953,51.947258,306.3577,150.51678,293.88702
0.354,147.02065,52.094276,306.39456,150.51378,293.89136
0.35499999,147.02173,52.241299,306.43143,150.50981,293.89566
0.35600001,147.02281,52.388321,306.46826,150.50491,293.89999
0.35699999,147.0239,52.535343,306.50504,150.49913,293.90436
0.35800001,147.02495,52.682369,306.54181,150.49249,293.90869
0.359,147.026,52.829395,306.57855,150.48502,293.91306
0.36000001,147.02702,52.976421,306.6153,150.47673,293.91745
0.361,147.02803,53.123447,306.65198,150.46768,293.92184
0.36199999,147.02902,53.270477,306.68863,150.45789,293.92624
0.36300001,147.03,53.417507,306.72528,150.44739,293.93063
0.36399999,147.03094,53.564537,306.76187,150.4362,293.93506
0.36500001,147.03186,53.711571,306.79843,150.42439,293.93948
0.366,147.03276,53.858601,306.83499,150.41194,293.94391
0.36700001,147.03363,54.005634,306.87149,150.3989,293.94836
0.368,147.03447,54.152668,306.90796,150.3853,293.95282
0.36899999,147.03528,54.299702,306.94443,150.37115,293.95731
0.37,147.03606,54.446739,306.98083,150.35651,293.96176
0.37099999,147.0368,54.593777,307.01721,150.34137,293.96628
0.37200001,147.03752,54.740814,307.05359,150.32578,293.97076
0.373,147.03821,54.887852,307.0899,150.30975,293.97528
0.37400001,147.03885,55.034889,307.12619,150.29335,293.9798
0.375,147.03947,55.181927,307.16245,150.27657,293.98431
0.37599999,147.04005,55.328968,307.19867,150.25945,293.98886
0.377,147.04059,55.476009,307.23483,150.242,293.99341
0.37799999,147.04109,55.623051,307.271,150.22426,293.99799
0.37900001,147.04156,55.770092,307.30713,150.20625,294.00253
0.38,147.04199,55.917133,307.3432,150.18799,294.00714
0.38100001,147.04237,56.064175,307.37927,150.16949,294.01172
0.382,147.04272,56.211216,307.41528,150.1508,294.01633
0.38299999,147.04303,56.358261,307.45126,150.13193,294.02094
0.384,147.0433,56.505302,307.48721,150.1129,294.02554
0.38499999,147.04353,56.652348,307.52313,150.09375,294.03018
0.38600001,147.04372,56.799389,307.55902,150.07449,294.03482
0.38699999,147.04387,56.946434,307.59485,150.05515,294.03946
0.38800001,147.04398,57.093479,307.63068,150.03572,294.04413
0.389,147.04404,57.24052,307.66644,150.01625,294.0488
0.38999999,147.04407,57.387566,307.70218,149.99675,294.0535
0.391,147.04405,57.534611,307.73792,149.97723,294.05817
0.39199999,147.04399,57.681652,307.77359,149.95772,294.06287
0.39300001,147.04388,57.828697,307.80923,149.93822,294.0676
0.39399999,147.04375,57.975742,307.84482,149.91878,294.0723
0.39500001,147.04356,58.122784,307.8804,149.89938,294.07703
0.396,147.04333,58.269829,307.91592,149.88008,294.08176
0.39700001,147.04308,58.41687,307.95145,149.86087,294.08652
0.398,147.04277,58.563915,307.98691,149.84175,294.09128
0.39899999,147.04242,58.710957,308.02234,149.82277,294.09604
0.40000001,147.04204,58.857998,308.05774,149.80391,294.10083
0.40099999,147.04161,59.005043,308.09311,149.7852,294.10562
0.40200001,147.04114,59.152084,308.12845,149.76665,294.11041
0.403,147.04063,59.299126,308.16376,149.74826,294.1152
0.40400001,147.04008,59.446163,308.19904,149.73007,294.12003
0.405,147.03951,59.593204,308.23425,149.7121,294.12485
0.40599999,147.03889,59.740242,308.26947,149.69431,294.1297
0.40700001,147.03824,59.887283,308.30466,149.67676,294.13455
0.40799999,147.03754,60.034321,308.33978,149.65942,294.1394
0.40900001,147.0368,60.181358,308.37488,149.64233,294.14426
0.41,147.03604,60.328392,308.40997,149.62549,294.14914
0.41100001,147.03523,60.47543,308.44501,149.6089,294.15402
0.412,147.03439,60.622463,308.48001,149.59258,294.15891
0.41299999,147.03352,60.769497,308.51498,149.57651,294.16382
0.414,147.03262,60.916531,308.54993,149.56075,294.16873
0.41499999,147.03168,61.063564,308.58487,149.54526,294.17365
0.41600001,147.03072,61.210594,308.61975,149.53006,294.17856
0.417,147.02971,61.357624,308.6546,149.51517,294.1835
0.41800001,147.02867,61.504654,308.68942,149.50058,294.18845
0.419,147.0276,61.65168,308.72421,149.4863,294.19342
0.41999999,147.0265,61.79871,308.75897,149.47232,294.19839
0.421,147.02539,61.945736,308.7937,149.45866,294.20337
0.42199999,147.02423,62.092758,308.82843,149.44533,294.20834
0.42300001,147.02306,62.239784,308.8631,149.43231,294.21335
0.42399999,147.02185,62.386806,308.89774,149.41963,294.21835
0.42500001,147.02061,62.533825,308.93237,149.40729,294.22336
0.426,147.01935,62.680847,308.96695,149.39526,294.22839
0.42699999,147.01807,62.827866,309.0015,149.38358,294.23343
0.428,147.01675,62.974884,309.03604,149.37222,294.23846
0.42899999,147.01543,63.121899,309.07056,149.36121,294.2435
0.43000001,147.01407,63.268913,309.10501,149.35052,294.24857
0.43099999,147.01268,63.415928,309.13947,149.34018,294.25363
0.43200001,147.01128,63.562939,309.17389,149.33017,294.25873
0.433,147.00986,63.709949,309.20828,149.3205,294.26379
0.43399999,147.00842,63.85696,309.24268,149.31117,294.26889
0.435,147.00696,64.003967,309.27701,149.30217,294.27402
0.43599999,147.00548,64.15097,309.31131,149.29352,294.27911
0.43700001,147.00398,64.297974,309.34561,149.28519,294.28424
0.43799999,147.00247,64.444977,309.37988,149.27719,294.28937
0.43900001,147.00093,64.59198,309.41412,149.26953,294.29453
0.44,146.99939,64.738983,309.44833,149.26219,294.29965
0.44100001,146.99782,64.885979,309.48251,149.25517,294.30484
0.442,146.99625,65.032974,309.51669,149.24849,294.31
0.44299999,146.99466,65.17997,309.55081,149.24213,294.31519
0.44400001,146.99304,65.326965,309.58493,149.23607,294.32034
0.44499999,146.99142,65.473961,309.61902,149.23033,294.32556
0.44600001,146.98981,65.620949,309.65311,149.22491,294.33075
0.447,146.98816,65.767937,309.68713,149.2198,294.33597
0.44800001,146.98651,65.914925,309.72116,149.21498,294.34119
0.449,146.98485,66.061913,309.75516,149.21048,294.34644
0.44999999,146.98318,66.208893,309.78912,149.20625,294.35165
0.45100001,146.98151,66.355881,309.82309,149.20233,294.3569
0.45199999,146.97981,66.502861,309.85703,149.19868,294.36215
0.45300001,146.97812,66.649841,309.89093,149.19533,294.36743
0.454,146.97643,66.796814,309.9248,149.19226,294.37271
0.45500001,146.97472,66.943794,309.95868,149.18945,294.37799
0.456,146.97301,67.090767,309.99252,149.18692,294.38327
