"time","revolute.phi","revolute.w","rotor1D.phi","rotor1D.w"
0.83930000000000005,0.077512339760572341,0.037227838477999743,0.077512339760572341,0.037227838477999743
0.83952000000000004,0.077520519039255567,0.037134745245722293,0.077520519039255567,0.037134745245722293
0.83974000000000004,0.07752867785214633,0.037041733096410533,0.07752867785214633,0.037041733096410533
0.83996000000000004,0.077536816217290028,0.036948802207488335,0.077536816217290028,0.036948802207488335
0.84018000000000004,0.077544934152773984,0.036855952756219092,0.077544934152773984,0.036855952756219092
0.84040000000000004,0.077553031676727377,0.036763184919705268,0.077553031676727377,0.036763184919705268
0.84062000000000003,0.077561108807321297,0.036670498874888033,0.077561108807321297,0.036670498874888033
0.84084000000000003,0.077569165562768702,0.036577894798546881,0.077569165562768702,0.036577894798546881
0.84106000000000003,0.077577201961324421,0.036485372867299214,0.077577201961324421,0.036485372867299214
0.84128000000000003,0.077585218021285138,0.036392933257599978,0.077585218021285138,0.036392933257599978
0.84150000000000003,0.077593213760989418,0.036300576145741198,0.077593213760989418,0.036300576145741198
0.84172000000000002,0.077601189198817602,0.03620830170785172,0.077601189198817602,0.03620830170785172
0.84194000000000002,0.077609144353191856,0.036116110119896676,0.077609144353191856,0.036116110119896676
0.84216000000000002,0.077617079242576201,0.036024001557677168,0.077617079242576201,0.036024001557677168
0.84238000000000002,0.07762499388547639,0.035931976196829883,0.07762499388547639,0.035931976196829883
0.84260000000000002,0.077632888300440031,0.035840034212826673,0.077632888300440031,0.035840034212826673
0.84282000000000001,0.07764076250605649,0.035748175780974133,0.07764076250605649,0.035748175780974133
0.84304000000000001,0.077648616520956865,0.03565640107641329,0.077648616520956865,0.03565640107641329
0.84326000000000001,0.07765645036381405,0.035564710274119136,0.07765645036381405,0.035564710274119136
0.84348000000000001,0.077664264053342633,0.035473103548900292,0.077664264053342633,0.035473103548900292
0.84370000000000001,0.077672057608298956,0.035381581075398544,0.077672057608298956,0.035381581075398544
0.84392,0.077679831047481107,0.035290143028088555,0.077679831047481107,0.035290143028088555
0.84414,0.077687584389728823,0.035198789581277347,0.077687584389728823,0.035198789581277347
0.84436,0.07769531765392361,0.035107520909104024,0.07769531765392361,0.035107520909104024
0.84458,0.077703030858988595,0.035016337185539287,0.077703030858988595,0.035016337185539287
0.8448,0.077710724023888622,0.034925238584385128,0.077710724023888622,0.034925238584385128
0.84501999999999999,0.077718397167630154,0.034834225279274357,0.077718397167630154,0.034834225279274357
0.84523999999999999,0.077726050309261344,0.034743297443670267,0.077726050309261344,0.034743297443670267
0.84545999999999999,0.077733683467871989,0.034652455250866201,0.077733683467871989,0.034652455250866201
0.84567999999999999,0.07774129666259344,0.034561698873985199,0.07774129666259344,0.034561698873985199
0.84589999999999999,0.07774888991259879,0.034471028485979584,0.07774888991259879,0.034471028485979584
0.84611999999999998,0.077756463237102641,0.034380444259630549,0.077756463237102641,0.034380444259630549
0.84633999999999998,0.077764016655361215,0.034289946367547793,0.077764016655361215,0.034289946367547793
0.84655999999999998,0.077771550186672311,0.034199534982169141,0.077771550186672311,0.034199534982169141
0.84677999999999998,0.077779063850375321,0.034109210275760117,0.077779063850375321,0.034109210275760117
0.84699999999999998,0.077786557665851172,0.034018972420413573,0.077786557665851172,0.034018972420413573
0.84722000000000008,0.077794031652522369,0.033928821588049239,0.077794031652522369,0.033928821588049239
0.84744000000000008,0.077801485829852912,0.033838757950413523,0.077801485829852912,0.033838757950413523
0.84766000000000008,0.077808920217348365,0.033748781679078826,0.077808920217348365,0.033748781679078826
0.84788000000000008,0.077816334834555828,0.033658892945443379,0.077816334834555828,0.033658892945443379
0.84810000000000008,0.077823729701063854,0.033569091920730751,0.077823729701063854,0.033569091920730751
0.84832000000000007,0.077831104836502463,0.033479378775989464,0.077831104836502463,0.033479378775989464
0.84854000000000007,0.077838460260543238,0.033389753682092627,0.077838460260543238,0.033389753682092627
0.84876000000000007,0.077845795992899175,0.033300216809737562,0.077845795992899175,0.033300216809737562
0.84898000000000007,0.077853112053324749,0.033210768329445341,0.077853112053324749,0.033210768329445341
0.84920000000000007,0.077860408461615904,0.03312140841156045,0.077860408461615904,0.03312140841156045
0.84942000000000006,0.077867685237609979,0.033032137226250362,0.077867685237609979,0.033032137226250362
0.84964000000000006,0.077874942401185726,0.032942954943505194,0.077874942401185726,0.032942954943505194
0.84986000000000006,0.077882179972263391,0.032853861733137237,0.077882179972263391,0.032853861733137237
0.85008000000000006,0.077889397970804533,0.032764857764780671,0.077889397970804533,0.032764857764780671
0.85030000000000006,0.077896596416812125,0.032675943207891064,0.077896596416812125,0.032675943207891064
0.85052000000000005,0.077903775330330535,0.032587118231745031,0.077903775330330535,0.032587118231745031
0.85074000000000005,0.077910934483590766,0.032498383436577599,0.077910934483590766,0.032498383436577599
0.85096000000000005,0.077918073720551859,0.032409739297746522,0.077918073720551859,0.032409739297746522
0.85118000000000005,0.077925193464168999,0.032321185283350838,0.077925193464168999,0.032321185283350838
0.85140000000000005,0.077932293734313637,0.032232721562535892,0.077932293734313637,0.032232721562535892
0.85162000000000004,0.077939374550895599,0.032144348304271229,0.077939374550895599,0.032144348304271229
0.85184000000000004,0.077946435933863092,0.032056065677350198,0.077946435933863092,0.032056065677350198
0.85206000000000004,0.077953477903202686,0.03196787385038953,0.077953477903202686,0.03196787385038953
0.85228000000000004,0.077960500478939279,0.031879772991829064,0.077960500478939279,0.031879772991829064
0.85250000000000004,0.077967503681136072,0.0317917632699313,0.077967503681136072,0.0317917632699313
0.85272000000000003,0.07797448752989454,0.031703844852781035,0.07797448752989454,0.031703844852781035
0.85294000000000003,0.077981452045354394,0.031616017908285013,0.077981452045354394,0.031616017908285013
0.85316000000000003,0.077988397247693603,0.031528282604171558,0.077988397247693603,0.031528282604171558
